caso sem troca
iteração	 vencidas	 perdidas	 porcentagem	
473	164	309	0.346723044397463
474	164	310	0.3459915611814346
475	164	311	0.3452631578947368
476	164	312	0.3445378151260504
477	164	313	0.3438155136268344
478	164	314	0.34309623430962344
479	165	314	0.3444676409185804
480	165	315	0.34375
481	165	316	0.34303534303534305
482	165	317	0.34232365145228216
483	166	317	0.34368530020703936
484	166	318	0.34297520661157027
485	167	318	0.3443298969072165
486	167	319	0.3436213991769547
487	167	320	0.34291581108829566
488	167	321	0.3422131147540984
489	168	321	0.34355828220858897
490	168	322	0.34285714285714286
491	168	323	0.3421588594704684
492	168	324	0.34146341463414637
493	168	325	0.3407707910750507
494	168	326	0.340080971659919
495	168	327	0.3393939393939394
496	168	328	0.3387096774193548
497	169	328	0.34004024144869216
498	170	328	0.3413654618473896
499	170	329	0.3406813627254509
500	171	329	0.342
501	171	330	0.3413173652694611
502	171	331	0.34063745019920316
503	171	332	0.3399602385685885
504	172	332	0.3412698412698413
505	172	333	0.3405940594059406
506	172	334	0.33992094861660077
507	173	334	0.34122287968441817
508	173	335	0.3405511811023622
509	174	335	0.3418467583497053
510	175	335	0.3431372549019608
511	175	336	0.3424657534246575
512	176	336	0.34375
513	176	337	0.34307992202729043
514	177	337	0.3443579766536965
515	177	338	0.34368932038834954
516	178	338	0.3449612403100775
517	179	338	0.34622823984526113
518	180	338	0.3474903474903475
519	181	338	0.348747591522158
520	181	339	0.34807692307692306
521	182	339	0.3493282149712092
522	182	340	0.3486590038314176
523	182	341	0.3479923518164436
524	183	341	0.34923664122137404
525	184	341	0.3504761904761905
526	185	341	0.3517110266159696
527	185	342	0.3510436432637571
528	185	343	0.3503787878787879
529	185	344	0.3497164461247637
530	185	345	0.3490566037735849
531	185	346	0.3483992467043315
532	185	347	0.34774436090225563
533	185	348	0.34709193245778613
534	185	349	0.3464419475655431
535	185	350	0.34579439252336447
536	185	351	0.3451492537313433
537	186	351	0.3463687150837989
538	187	351	0.3475836431226766
539	188	351	0.34879406307977734
540	189	351	0.35
541	189	352	0.34935304990757854
542	189	353	0.34870848708487084
543	189	354	0.34806629834254144
544	190	354	0.3492647058823529
545	191	354	0.3504587155963303
546	192	354	0.3516483516483517
547	192	355	0.3510054844606947
548	193	355	0.3521897810218978
549	193	356	0.35154826958105645
550	194	356	0.3527272727272727
551	194	357	0.35208711433756806
552	194	358	0.35144927536231885
553	194	359	0.3508137432188065
554	195	359	0.351985559566787
555	195	360	0.35135135135135137
556	195	361	0.35071942446043164
557	196	361	0.3518850987432675
558	196	362	0.35125448028673834
559	196	363	0.35062611806797855
560	196	364	0.35
561	196	365	0.3493761140819964
562	196	366	0.3487544483985765
563	196	367	0.3481349911190053
564	197	367	0.34929078014184395
565	197	368	0.3486725663716814
566	197	369	0.3480565371024735
567	197	370	0.3474426807760141
568	198	370	0.3485915492957746
569	199	370	0.34973637961335674
570	199	371	0.34912280701754383
571	199	372	0.34851138353765326
572	200	372	0.34965034965034963
573	200	373	0.34904013961605584
574	200	374	0.34843205574912894
575	200	375	0.34782608695652173
576	200	376	0.3472222222222222
577	200	377	0.3466204506065858
578	200	378	0.3460207612456747
579	200	379	0.3454231433506045
580	201	379	0.34655172413793106
581	202	379	0.3476764199655766
582	202	380	0.3470790378006873
583	203	380	0.3481989708404803
584	203	381	0.3476027397260274
585	203	382	0.347008547008547
586	203	383	0.3464163822525597
587	204	383	0.3475298126064736
588	204	384	0.3469387755102041
589	205	384	0.34804753820033957
590	205	385	0.3474576271186441
591	205	386	0.34686971235194586
592	205	387	0.34628378378378377
593	205	388	0.3456998313659359
594	205	389	0.3451178451178451
595	206	389	0.346218487394958
596	206	390	0.34563758389261745
597	207	390	0.34673366834170855
598	208	390	0.34782608695652173
599	209	390	0.34891485809682804
600	210	390	0.35
601	210	391	0.34941763727121466
602	210	392	0.3488372093023256
603	210	393	0.3482587064676617
604	210	394	0.347682119205298
605	210	395	0.34710743801652894
606	210	396	0.3465346534653465
607	211	396	0.34761120263591433
608	212	396	0.34868421052631576
609	212	397	0.34811165845648606
610	213	397	0.34918032786885245
