caso com troca
iteração	 vencidas	 perdidas	 porcentagem	
130	85	45	0.6538461538461539
131	85	46	0.648854961832061
132	86	46	0.6515151515151515
133	87	46	0.6541353383458647
134	88	46	0.6567164179104478
135	89	46	0.6592592592592592
136	90	46	0.6617647058823529
137	91	46	0.6642335766423357
138	91	47	0.6594202898550725
139	91	48	0.6546762589928058
140	92	48	0.6571428571428571
141	93	48	0.6595744680851063
142	94	48	0.6619718309859155
143	95	48	0.6643356643356644
144	96	48	0.6666666666666666
145	96	49	0.6620689655172414
146	97	49	0.6643835616438356
147	98	49	0.6666666666666666
148	98	50	0.6621621621621622
149	99	50	0.6644295302013423
150	100	50	0.6666666666666666
151	100	51	0.6622516556291391
152	101	51	0.6644736842105263
153	102	51	0.6666666666666666
154	103	51	0.6688311688311688
155	104	51	0.6709677419354839
156	104	52	0.6666666666666666
157	105	52	0.6687898089171974
158	106	52	0.6708860759493671
159	106	53	0.6666666666666666
160	107	53	0.66875
161	108	53	0.6708074534161491
162	109	53	0.6728395061728395
163	110	53	0.6748466257668712
164	111	53	0.676829268292683
165	111	54	0.6727272727272727
166	112	54	0.6746987951807228
167	112	55	0.6706586826347305
168	112	56	0.6666666666666666
169	112	57	0.6627218934911243
170	112	58	0.6588235294117647
171	113	58	0.6608187134502924
172	114	58	0.6627906976744186
173	115	58	0.6647398843930635
174	116	58	0.6666666666666666
175	117	58	0.6685714285714286
176	118	58	0.6704545454545454
177	119	58	0.672316384180791
178	119	59	0.6685393258426966
179	119	60	0.664804469273743
180	119	61	0.6611111111111111
181	120	61	0.6629834254143646
182	120	62	0.6593406593406593
183	121	62	0.6612021857923497
184	122	62	0.6630434782608695
185	123	62	0.6648648648648648
186	124	62	0.6666666666666666
187	124	63	0.6631016042780749
188	125	63	0.6648936170212766
189	125	64	0.6613756613756614
190	126	64	0.6631578947368421
191	127	64	0.6649214659685864
192	128	64	0.6666666666666666
193	128	65	0.6632124352331606
194	129	65	0.6649484536082474
195	130	65	0.6666666666666666
196	131	65	0.6683673469387755
197	131	66	0.6649746192893401
198	132	66	0.6666666666666666
199	133	66	0.6683417085427136
200	134	66	0.67
201	135	66	0.6716417910447762
202	135	67	0.6683168316831684
203	136	67	0.6699507389162561
204	136	68	0.6666666666666666
205	137	68	0.6682926829268293
206	137	69	0.6650485436893204
207	138	69	0.6666666666666666
208	139	69	0.6682692307692307
209	139	70	0.6650717703349283
210	140	70	0.6666666666666666
211	141	70	0.6682464454976303
212	142	70	0.6698113207547169
213	143	70	0.6713615023474179
214	143	71	0.6682242990654206
215	143	72	0.6651162790697674
216	144	72	0.6666666666666666
217	145	72	0.6682027649769585
218	146	72	0.6697247706422018
219	147	72	0.6712328767123288
220	147	73	0.6681818181818182
221	148	73	0.669683257918552
222	148	74	0.6666666666666666
223	149	74	0.6681614349775785
224	150	74	0.6696428571428571
225	150	75	0.6666666666666666
226	151	75	0.668141592920354
227	152	75	0.6696035242290749
228	153	75	0.6710526315789473
229	154	75	0.6724890829694323
230	154	76	0.6695652173913044
231	154	77	0.6666666666666666
232	155	77	0.6681034482758621
233	155	78	0.6652360515021459
234	156	78	0.6666666666666666
235	157	78	0.6680851063829787
236	158	78	0.6694915254237288
237	158	79	0.6666666666666666
238	158	80	0.6638655462184874
239	158	81	0.6610878661087866
240	158	82	0.6583333333333333
241	158	83	0.6556016597510373
242	159	83	0.6570247933884298
243	160	83	0.6584362139917695
244	161	83	0.6598360655737705
245	161	84	0.6571428571428571
246	162	84	0.6585365853658537
247	163	84	0.659919028340081
248	163	85	0.657258064516129
249	164	85	0.6586345381526104
250	164	86	0.656
251	165	86	0.6573705179282868
252	165	87	0.6547619047619048
253	165	88	0.6521739130434783
254	166	88	0.6535433070866141
255	166	89	0.6509803921568628
256	167	89	0.65234375
257	168	89	0.6536964980544747
258	169	89	0.6550387596899225
259	170	89	0.6563706563706564
260	171	89	0.6576923076923077
261	172	89	0.6590038314176245
262	173	89	0.6603053435114504
263	174	89	0.6615969581749049
264	175	89	0.6628787878787878
265	176	89	0.6641509433962264
266	176	90	0.6616541353383458
267	177	90	0.6629213483146067
268	178	90	0.664179104477612
269	179	90	0.6654275092936803
270	180	90	0.6666666666666666
271	180	91	0.6642066420664207
272	180	92	0.6617647058823529
273	181	92	0.663003663003663
274	182	92	0.6642335766423357
275	182	93	0.6618181818181819
